,well,fov,label,nuc-intensity_mean,nuc-centroid-0,nuc-centroid-1,nuc-area,nuc-intensity_variance,nuc-intensity_median,nuc-intensity_percentiles-0,nuc-intensity_percentiles-1,nuc-intensity_percentiles-2,nuc-intensity_percentiles-3,3-intensity_mean,3-intensity_variance,3-intensity_median,3-intensity_percentiles-0,3-intensity_percentiles-1,3-intensity_percentiles-2,3-intensity_percentiles-3,4-intensity_mean,4-intensity_variance,4-intensity_median,4-intensity_percentiles-0,4-intensity_percentiles-1,4-intensity_percentiles-2,4-intensity_percentiles-3,cell-intensity_mean,cell-area,cell-axis_major_length,cell-axis_minor_length,cell-perimeter,cell-intensity_variance,cell-intensity_median,cell-intensity_percentiles-0,cell-intensity_percentiles-1,cell-intensity_percentiles-2,cell-intensity_percentiles-3,1-intensity_mean,1-intensity_variance,1-intensity_median,1-intensity_percentiles-0,1-intensity_percentiles-1,1-intensity_percentiles-2,1-intensity_percentiles-3
26,r05c18,9,27.0,11306.834092980856,416.3363719234275,450.8714676390155,1097.0,5565252.980679054,11521.0,8013.6,10061.0,12884.0,14237.2,6540.413306451613,3871830.0872422936,6453.5,4030.9,5508.75,7641.5,9005.900000000001,3852.676915322581,2331706.9797896785,3686.5,1832.3,2994.5,4670.75,5827.4,3713.4818548387098,1984.0,87.50216719617488,29.41724371207261,210.4507934888324,2078450.544025592,3742.5,2174.3,2482.75,4321.0,5296.8,1110.564012096774,26622.0664669676,1089.5,911.0,1005.0,1186.0,1337.7
27,r05c18,9,28.0,11352.686367969494,418.7311725452812,752.2345090562441,1049.0,6377722.213360402,11434.0,7843.6,9945.0,13100.0,14461.4,5144.4357668364455,5831600.080244974,5403.0,1812.0,3017.0,6982.0,8181.0,2813.4857574042635,2144153.180942215,2659.0,1132.0,1558.0,3718.0,4921.0,2695.822297679684,5301.0,145.56335046942635,53.77151509088761,364.8477631085024,1576200.509829167,2308.0,1511.0,1893.0,3403.0,4297.0,1007.3040935672516,28648.578343929374,1001.0,801.0,874.0,1101.0,1224.0
28,r05c18,9,29.0,8396.926020408164,465.8316326530612,1032.4829931972788,1176.0,2718395.044697088,8544.0,6075.5,7482.0,9586.5,10388.5,4032.591569252568,4117498.894112416,4134.0,1387.2,2230.0,5427.0,6593.8,2343.820403825717,2149706.6694809566,2016.0,890.0,1301.0,2810.0,4497.6,2410.6723343960325,2823.0,108.429024346895,41.77791527124399,278.4213562373095,385062.1338679831,2426.0,1638.0,2064.5,2801.0,3087.6000000000004,989.8048175699612,30272.5311563872,943.0,816.0,860.0,1061.0,1264.8000000000002
29,r05c18,9,30.0,11681.498076923075,463.7865384615384,96.4,520.0,7015805.73845784,11839.0,7550.3,10103.0,13646.5,14868.9,2743.26582278481,1947978.1631823508,2458.0,1183.0,1630.0,3583.0,5035.0,1423.703530979347,476663.1626057866,1243.0,701.0,930.0,1661.0,2563.0,1836.0386409060627,1501.0,81.89489824069841,27.13103480631043,208.7106781186548,139271.41089861922,1942.0,1246.0,1613.0,2116.0,2217.0,874.1585609593604,35107.789648562066,821.0,726.0,770.0,909.0,1088.0
30,r05c18,9,31.0,11732.435318275157,488.2279260780288,68.15195071868582,487.0,8760646.147253646,12013.0,7593.2,9629.0,13770.5,15667.0,5654.412724530372,15242615.94730552,4332.0,1841.0,2615.0,7975.0,11591.8,3598.493349787468,7462323.675980731,2490.0,1326.0,1698.0,4901.0,7484.6,3288.666940902235,7293.0,109.63441254537535,85.54854182830803,324.19090885901,2798350.445084252,2781.0,1841.0,2231.0,3686.0,5636.000000000001,1145.2566844919786,115778.53660861524,1021.0,847.2,904.0,1318.0,1577.0
31,r05c18,9,32.0,7353.975247524752,487.6831683168317,4.405940594059406,202.0,1849056.499387315,7808.5,5014.200000000001,6714.75,8295.0,8629.1,3783.9615384615386,4420895.253099464,3314.0,1381.3,2264.25,4966.25,6573.7,2298.335164835165,2862489.8272249727,1682.0,835.0,1185.0,2946.0,4328.0,2270.2971102971105,4914.0,92.76577568056996,68.4668017404591,281.86500705120545,1099894.1860437456,1924.0,1363.0,1667.0,2624.5,3532.7,788.8691493691493,16106.2382708678,762.0,661.0,703.0,843.0,947.6999999999998
32,r05c18,9,33.0,9644.268719384185,501.8229531140658,763.6081175647306,1429.0,3471043.527509976,9648.0,7372.2,8548.0,10786.0,12116.2,5377.660993511328,17634521.823698148,3607.0,1897.0,2496.0,6830.0,12142.0,3103.589086267418,6410955.97613448,1963.0,1263.0,1521.0,3865.0,7011.0,3126.4182533773,9401.0,124.38190078021356,97.7698726020958,383.2914139223983,3249491.7318825363,2545.0,1882.0,2196.0,3058.0,5805.0,1194.148175725987,136731.8309319449,1038.0,902.0,953.0,1308.0,1755.0
33,r05c18,9,34.0,10765.175814751286,499.5994854202401,845.3250428816467,1166.0,5825634.163771848,10985.0,7312.0,9372.0,12401.5,13726.5,5298.624499141385,2961665.4709052304,5253.0,2765.4,4556.0,6351.0,7556.200000000001,3199.8603319977105,1457247.2260566726,3020.0,1764.6,2697.5,3601.0,4707.4,3378.8311390955923,1747.0,80.37921626212322,29.463802734720502,196.20815280171308,1512107.8289559437,3290.0,1809.6,2769.5,3944.0,4484.6,990.6227819118488,10951.854844464742,993.0,839.0,938.0,1053.0,1115.0
34,r05c18,9,35.0,9325.425684485006,525.8813559322034,431.43285528031294,1534.0,3692365.567814884,9383.0,6750.8,8203.5,10663.0,11753.5,4865.51041498466,10903154.57703508,3745.0,1645.2,2431.0,6510.0,9769.600000000002,2812.786371709996,4653404.417304985,1959.0,1074.0,1391.0,3651.0,5689.8,2739.453092200872,6193.0,115.11144946319114,77.48679395390327,365.9310242291876,2403598.2936578854,2240.0,1540.0,1896.0,2889.0,4665.000000000001,1039.3665428709833,58364.46729334456,963.0,842.0,892.0,1101.0,1319.0
35,r05c18,9,36.0,11300.146191646192,539.3304668304668,300.3808353808354,814.0,5092421.626048151,11619.5,7621.0,10111.5,12785.5,13781.8,3513.2909473052096,3991535.239475173,3110.0,1292.0,1857.0,4869.0,6189.0,2022.3167692538657,1933096.9331356965,1581.0,795.0,1037.0,2645.0,3612.0,1878.501576339889,6661.0,165.1055407771727,56.13731325212205,414.9188309203678,740693.6915228115,1530.0,1115.0,1330.0,2240.0,3143.0,815.9717760096082,30783.79322832755,779.0,658.0,701.0,886.0,1000.0
36,r05c18,9,37.0,8244.083114610674,557.092738407699,999.5704286964128,1143.0,3048170.016714009,8430.0,5720.4,7174.5,9473.0,10432.0,4709.299825174825,4300552.264125844,3964.5,2841.3,3444.75,5595.5,7703.3,3003.534090909091,5510380.392194453,2056.5,1308.3,1598.0,3696.0,5921.500000000002,2333.355769230769,1144.0,51.9085813879872,30.24271018332313,141.84062043356596,330005.0194072755,2247.0,1813.0,1993.5,2510.25,2900.800000000001,810.0375874125874,19710.82813264096,758.0,674.0,711.0,889.25,1034.0
37,r05c18,9,38.0,10220.034843205574,569.8998257839721,877.9825783972126,1148.0,4537579.889029853,10313.0,7316.7,9191.0,11527.75,12820.5,5811.641273065854,6033785.475682686,5874.0,2717.0,3979.5,7276.5,8665.400000000003,3432.980362282038,2361295.404388357,3329.0,1711.6,2434.5,4046.5,5193.0,3511.4890807516504,5907.0,174.09327284318528,49.94262241702443,395.8305191657993,2982987.146105588,2969.0,2258.6,2515.0,4282.0,4728.800000000001,1145.2043338412054,26051.399419172787,1146.0,932.0,1023.0,1251.0,1345.0
38,r05c18,9,39.0,8611.461714285715,571.0948571428571,216.4662857142857,875.0,2636193.784534204,8696.0,6402.8,7615.5,9797.0,10525.0,4541.02263599854,3231156.896895425,4385.0,2543.8,3174.0,5665.0,6819.0,2828.068273092369,2622252.728087964,2284.0,1413.8,1736.0,3538.5,5068.6,2425.956918583425,2739.0,81.40997657968293,45.42204651221812,231.9655121145938,265219.7900388437,2411.0,1891.4,2186.5,2645.5,3005.2000000000003,863.7155896312523,26695.92458719341,832.0,688.0,739.0,940.5,1117.0
39,r05c18,9,40.0,9442.874162323156,577.4169769173492,430.3819806403574,1343.0,3358510.244030851,9602.0,6899.2,8483.0,10631.5,11710.2,6576.6569416499,10945496.508065496,6756.0,2188.9,3989.0,8808.0,10409.6,3552.226861167002,5413621.054670831,3310.0,1148.1,1632.0,4975.0,6362.799999999999,3674.983400402415,1988.0,69.83631885055507,41.17356809431411,205.62236636408616,4278931.525378377,3082.5,1846.4,2213.5,4651.25,6011.099999999998,1051.1051307847083,36426.32848474145,1036.0,815.0,903.0,1184.0,1319.0
40,r05c18,9,41.0,12324.998073217726,594.6685934489402,797.2292870905587,1038.0,7682738.618493396,12528.0,8381.4,10713.5,14240.5,15876.2,4997.3671379111365,3753872.756294578,4905.5,2580.1,3465.0,6228.75,7710.800000000001,2866.264714368148,1874399.4794069729,2671.5,1420.1,1766.0,3544.25,5006.0,2965.8440565493365,6932.0,134.55206121219737,73.00368250855752,386.1198410471445,2009916.2262586744,2393.0,1888.0,2096.0,3874.0,4344.900000000001,1032.5774668205424,23634.739671136376,1003.0,873.0,918.0,1103.0,1247.0
41,r05c18,9,42.0,6696.450121654501,608.889699918897,287.03892944038927,1233.0,1375730.3269930915,6740.0,5179.8,5948.0,7420.0,8146.2,3511.343175487465,4975933.5953225065,2760.5,1424.9,1783.0,4801.5,6526.200000000001,1992.4385793871863,2274239.503609124,1428.0,883.0,1032.0,2558.0,3607.1,2230.0065459610028,7180.0,158.13626141521158,73.44199686691881,440.36857838867365,1036029.4223805486,1874.0,1441.9,1647.0,2401.25,3589.2000000000007,828.3320334261839,31776.952149347067,783.0,668.0,711.75,897.0,1017.0
