,well,fov,centroid-0,centroid-1
0,r05c18,9,41.98003072196621,560.6267281105991
1,r05c18,9,49.64153846153846,328.1392307692308
2,r05c18,9,62.22987288135593,205.6377118644068
3,r05c18,9,58.012084592145015,627.3338368580061
4,r05c18,9,101.53255813953488,567.8744186046512
5,r05c18,9,135.13691275167784,672.3476510067114
6,r05c18,9,138.7068181818182,223.54886363636365
7,r05c18,9,144.97800776196635,170.77749029754204
8,r05c18,9,149.33128834355827,620.2711656441718
9,r05c18,9,157.02048780487806,59.48975609756098
10,r05c18,9,162.16949152542372,134.58353510895884
11,r05c18,9,197.20454545454547,319.0671487603305
12,r05c18,9,210.86118598382748,229.48045822102424
13,r05c18,9,203.3705463182898,90.03444180522565
14,r05c18,9,206.2709677419355,8.627956989247313
15,r05c18,9,233.167714884696,159.75786163522014
16,r05c18,9,236.60639777468705,30.40472878998609
17,r05c18,9,282.6169102296451,273.7087682672234
18,r05c18,9,283.34054054054053,218.44864864864863
19,r05c18,9,306.4241071428572,81.31607142857143
20,r05c18,9,301.5973154362416,2.61744966442953
21,r05c18,9,325.39390962671905,222.58742632612967
22,r05c18,9,349.82194417709337,168.9432146294514
23,r05c18,9,387.9808917197452,106.73703366696998
24,r05c18,9,376.5776536312849,15.781005586592178
25,r05c18,9,393.311,371.834
26,r05c18,9,416.3363719234275,450.8714676390155
27,r05c18,9,418.7311725452812,752.2345090562441
28,r05c18,9,465.8316326530612,1032.4829931972788
29,r05c18,9,463.7865384615384,96.4
30,r05c18,9,488.2279260780288,68.15195071868582
31,r05c18,9,487.6831683168317,4.405940594059406
32,r05c18,9,501.8229531140658,763.6081175647306
33,r05c18,9,499.5994854202401,845.3250428816467
34,r05c18,9,525.8813559322034,431.43285528031294
35,r05c18,9,539.3304668304668,300.3808353808354
36,r05c18,9,557.092738407699,999.5704286964128
37,r05c18,9,569.8998257839721,877.9825783972126
38,r05c18,9,571.0948571428571,216.4662857142857
39,r05c18,9,577.4169769173492,430.3819806403574
40,r05c18,9,594.6685934489402,797.2292870905587
41,r05c18,9,608.889699918897,287.03892944038927
42,r05c18,9,621.0640668523677,1068.9846796657382
43,r05c18,9,621.2252427184466,665.473786407767
44,r05c18,9,619.36578581363,506.470792767733
45,r05c18,9,624.1267738883633,370.7237464522233
46,r05c18,9,637.687323943662,725.4478873239436
47,r05c18,9,646.1581160639192,972.2573591253154
48,r05c18,9,646.437618147448,481.3024574669187
49,r05c18,9,661.2585034013606,709.8180272108843
50,r05c18,9,663.7604395604395,580.0373626373627
51,r05c18,9,678.7725947521866,1073.0204081632653
52,r05c18,9,709.2650103519669,458.53002070393376
53,r05c18,9,704.099732858415,536.3250222617987
54,r05c18,9,714.408611599297,345.1652021089631
55,r05c18,9,723.1515403830142,232.23397169025813
56,r05c18,9,733.942600896861,425.01614349775787
57,r05c18,9,735.9549718574109,676.3039399624765
58,r05c18,9,762.8358490566038,1045.3924528301886
59,r05c18,9,783.1353746978243,599.1998388396454
60,r05c18,9,787.2222222222222,150.53009259259258
61,r05c18,9,794.5920138888889,534.5399305555555
62,r05c18,9,801.1506717850287,969.2629558541266
63,r05c18,9,810.6917748917749,211.4900432900433
64,r05c18,9,807.4881516587677,1075.5497630331754
65,r05c18,9,818.6576492537314,462.2555970149254
66,r05c18,9,817.1995863495347,715.7249224405377
67,r05c18,9,810.4802705749718,813.6076662908681
68,r05c18,9,830.9883351007423,869.9512195121952
69,r05c18,9,833.4647302904565,145.15041493775934
70,r05c18,9,840.6876606683804,340.0
71,r05c18,9,843.6177370030581,1068.9923547400613
72,r05c18,9,861.683490162532,402.78186484174506
73,r05c18,9,857.3033457249071,613.7873605947956
74,r05c18,9,852.0319634703196,774.0776255707763
75,r05c18,9,875.0174291938998,812.7494553376906
